timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1585910185008,136,秒杀请求,200,,线程组 1-2,text,true,,186,252,200,200,http://127.0.0.1:8080/seckillactivity/seckill/641/,136,0,1
1585910185082,70,秒杀请求,200,,线程组 1-192,text,true,,186,252,200,200,http://127.0.0.1:8080/seckillactivity/seckill/641/,70,0,1
1585910185083,75,秒杀请求,200,,线程组 1-198,text,true,,186,252,200,200,http://127.0.0.1:8080/seckillactivity/seckill/641/,75,0,0
1585910185083,80,秒杀请求,200,,线程组 1-197,text,true,,186,252,200,200,http://127.0.0.1:8080/seckillactivity/seckill/641/,80,0,0
1585910185042,125,秒杀请求,200,,线程组 1-74,text,true,,186,252,200,200,http://127.0.0.1:8080/seckillactivity/seckill/641/,125,0,1
1585910185081,92,秒杀请求,200,,线程组 1-199,text,true,,186,252,200,200,http://127.0.0.1:8080/seckillactivity/seckill/641/,92,0,0
1585910185042,136,秒杀请求,200,,线程组 1-131,text,true,,186,252,200,200,http://127.0.0.1:8080/seckillactivity/seckill/641/,136,0,0
1585910185042,143,秒杀请求,200,,线程组 1-132,text,true,,186,252,200,200,http://127.0.0.1:8080/seckillactivity/seckill/641/,143,0,0
1585910185079,111,秒杀请求,200,,线程组 1-193,text,true,,186,252,200,200,http://127.0.0.1:8080/seckillactivity/seckill/641/,111,0,0
1585910185081,113,秒杀请求,200,,线程组 1-186,text,true,,186,252,200,200,http://127.0.0.1:8080/seckillactivity/seckill/641/,113,0,0
1585910185079,117,秒杀请求,200,,线程组 1-194,text,true,,183,252,200,200,http://127.0.0.1:8080/seckillactivity/seckill/641/,117,0,1
1585910185078,119,秒杀请求,200,,线程组 1-180,text,true,,183,252,200,200,http://127.0.0.1:8080/seckillactivity/seckill/641/,119,0,1
1585910185077,121,秒杀请求,200,,线程组 1-187,text,true,,183,252,200,200,http://127.0.0.1:8080/seckillactivity/seckill/641/,121,0,1
1585910185078,121,秒杀请求,200,,线程组 1-188,text,true,,183,252,200,200,http://127.0.0.1:8080/seckillactivity/seckill/641/,121,0,1
1585910185038,163,秒杀请求,200,,线程组 1-117,text,true,,183,252,200,200,http://127.0.0.1:8080/seckillactivity/seckill/641/,163,0,1
1585910185038,163,秒杀请求,200,,线程组 1-114,text,true,,183,252,200,200,http://127.0.0.1:8080/seckillactivity/seckill/641/,163,0,1
1585910185077,125,秒杀请求,200,,线程组 1-113,text,true,,183,252,200,200,http://127.0.0.1:8080/seckillactivity/seckill/641/,125,0,0
1585910185074,129,秒杀请求,200,,线程组 1-184,text,true,,183,252,200,200,http://127.0.0.1:8080/seckillactivity/seckill/641/,129,0,0
